SMILES,pIC50
Fc1ccc(N2CCN(Cc3cn4nc(Cl)ccc4n3)CC2)cc1,5.00436
COc1ccccc1N1CCN(CCCN2CCc3ccccc3C2=O)CC1,5.01
c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,5.01
C(=Cc1cc(CCCCN2CCN(c3ccccc3)CC2)on1)c1ccccc1,5.01
CCOCCOCc1ccc(N2CCN(CCCCNC(=O)c3ccccc3)CC2)c(OC)c1,5.01323
CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,5.02
COc1cc2c(c(OC)c1)CN1CCc3cc(OC)c(OC)c(OC)c3C1C2,5.03
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccc(Cl)cc3)c3ccccc32)CC1,5.03381
Cc1cc2c(nc1C)CNC1CCc3cc(O)c(O)cc3C21,5.04
O=Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,5.04
O=C1c2ccccc2CCN1CCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,5.04
COc1ccc(N2CCN(Cc3c(C)nc4cc(C)ncn34)CC2)cc1,5.04096
OC1(c2ccc(Cl)cc2)CCNCC1,5.04144
N#CC(C#N)=Cc1[nH]ccc1CN1CCN(c2ccc(Cl)cc2)CC1,5.05
CCCCCCCCCC(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,5.05
CC(N)C(O)c1ccc(O)c(O)c1,5.05
CC1CN(CC(=O)N2CCc3ccccc32)CC(C)N1Cc1ccc(Cl)cc1,5.06
O=C1CC2(CCCN(Cc3ccccc3)C2)OC=C1c1ccc(F)cc1,5.06
CCCN(CCC)CCCCNC(=O)c1ccc(-c2ccccc2)cc1,5.06
c1ccc(CN2CCC(NCc3coc(-c4ccccc4)n3)CC2)cc1,5.06
COc1cc2c(c(OC)c1)CN1CCc3cc(OC)c(OCc4ccccc4)c(OC)c3C1C2,5.07
Cc1cc2nc(C)c(CN3CCN(c4ccccc4)CC3)n2c(C)n1,5.07
c1ccc(CN2CCC(n3cccc3)CC2)cc1,5.07058
O=C(CCCN1CCN(c2ccc(Cl)cc2)CC1)c1nc2ccccc2s1,5.08
COc1ccc(C2=CC(=O)C3(CCN(CCc4ccccc4)CC3)O2)cc1,5.08
C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,5.08092
CCCCSC1=CCc2ccc(N=CN3CCc4cc(OC)c(OC)cc4C3)cc21,5.09
O=C1CCc2ccncc2N1CCCN1CCC(n2c(O)nc3ccccc32)CC1,5.09
Clc1ccc(N2CCN(Cc3cn4nc(Cl)ccc4n3)CC2)cc1,5.09
O=c1oc2ccccc2n1CCN1CCN(Cc2ccc(Cl)cc2)CC1,5.09
O=C1c2ccccc2CCCN1CCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,5.1
O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,5.1
OCc1cc(C(O)CNCCc2ccc(CNCCc3ccccc3)cc2)ccc1O,5.1
CCCN1CCOC2c3cc(C(=O)NC)ccc3CCC21,5.1
N#CC(C#N)=Cc1cccn1C1CCN(Cc2ccccc2)CC1,5.11
CN1CCN(c2ccc3nc(CN4CCN(c5ccc(Cl)c(Cl)c5)CC4)cn3n2)CC1,5.11
CCN(CC)C(=S)SSC(=S)N(CC)CC,5.12
N#Cc1ccc2[nH]c(CN3CCN(c4ccc(Cl)cc4)CC3)cc2c1,5.12
O=C1C(c2ccccc2)=COC12CCN(Cc1ccco1)CC2,5.12
O=C1C=C(c2ccco2)OC2(CCN(CCc3ccccc3)CC2)C1,5.12
CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,5.12372
COc1cccc(C(=O)NCCN2CCN(c3ccc(C)cc3)CC2)c1,5.13
O=C1c2ccccc2CCN1CCCCN1CCN(c2ccccn2)CC1,5.13
CN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2ccccc21,5.13
N#CC(C#N)=Cc1cc(CN2CCN(c3ccc(Cl)cc3)CC2)c[nH]1,5.13
Cc1ccc(NC(=O)C(C)C)cc1C1CCN(Cc2ccc(Oc3ccc(F)c(F)c3)cc2)CC1,5.13077
O=C(NCCC(CF)N1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,5.13077
COc1ccc2c(c1)CCN(C)C2Cc1ccccc1C,5.13247
O=C1C=C(c2ccccc2)OC12CCN(CCc1ccccc1)CC2,5.14
O=S(=O)(NCCCN1CCN(c2noc3ccccc23)CC1)c1ccc2ccccc2c1,5.14267
Oc1cccc(C2CNCCO2)c1,5.14267
COc1cc2c(c(OC)c1)CN1CCc3cc(OC)c(O)c(OC)c3C1C2,5.15
COc1c(C(=O)NCCN2CCN(c3ccccc3)CC2)ccc2ccccc12,5.15
CN(C(=O)C=Cc1ccccc1)C1CCN(Cc2ccccc2)CC1,5.15
CN1CCCC(CN2c3ccccc3Sc3cc(N4CCOCC4)ccc32)C1,5.16
COc1ccc(N2CCN(CCCCN3CCCc4ccccc4C3=O)CC2)cc1,5.16
Cc1cccc(N2CCN(CCCC(=O)N=CC3Nc4ccccc4C(=O)N3c3ccccc3)CC2)c1C,5.16
CC1CN(Cc2ccc(Cl)cc2)C(C)CN1CC(=O)N1CCc2ccccc21,5.17
Clc1ccc(Cn2c(SCc3ccccc3)nc3ccccc32)cc1,5.17
O=C1c2ccccc2CCN1CCCN1CCN(c2cccc(Cl)c2Cl)CC1,5.17
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,5.18
O=C(CCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)N=CC1Nc2cc(F)ccc2C(=O)N1c1ccccc1,5.18
Cc1ccccc1N1CCN(CCCCc2cc(-c3ccccc3)no2)CC1,5.19
O=C1c2ccccc2CCN1CCCCN1CCN(c2ncccn2)CC1,5.19
CCN(CC)CCCOc1ccc(-c2nc3ccccc3n2CC=CCn2c(-c3ccccc3)nc3ccccc32)cc1,5.19
CN1CCC(c2cn(-c3ccncc3)c3ccc(-c4cnn(C)c4)cc23)CC1,5.19382
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccc(Cl)c(Cl)c3)c3ccccc32)CC1,5.19423
CCCCCCc1ccc2c(c1)Cc1ccccc1C2CN,5.2
Cc1ccc2c(c1)N(C(=O)CN1CCN(Cc3ccc(Cl)cc3)CC1)CC2,5.2
Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C#N)cc5)C4)n3C)cccc2n1,5.2
CCCN1CCN(c2ccc(OC)cc2)CC1,5.2
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5nc(C)c(C)nc5c4)n2C)CC3)no1,5.2
COc1cccc(CCc2ccccc2OCCCN2CCN(c3ccccc3OC)CC2)c1,5.20066
C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,5.20066
OC(c1ccccc1)c1ccccc1OCCN1CCCC1,5.20204
COC(=O)c1ccc(Cc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,5.21
CN1CCc2ccc3nc(O)c4cccc5c4c3c2C1C5,5.21
Oc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,5.21467
Oc1cc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)ccc1F,5.21467
CC(=O)Nc1cccc(C2CCN(CCCC(=O)c3ccc(C)c(C)c3)CC2)c1,5.21467
CC(=O)NC1CCC(CCN2CCc3ccccc3C2)CC1,5.22
CN1CCc2cc(Cl)c(O)cc2C(c2ccc(CN(C)S(C)(=O)=O)cc2)C1,5.22
CCNC(=O)Nc1ccc2c(c1)CCC1C2c2cc(O)c(Cl)cc2CCN1C,5.22
CCOc1ccccc1CN1CCN(Cc2cc3ccccc3o2)CC1,5.22
c1ccc(-n2cc(CN3CCN(c4ncccn4)CC3)cn2)cc1,5.22185
COc1ccc2c(c1)CC(N)CC2,5.23
CC1CN(Cc2ccc(Cl)cc2)CCN1CC(=O)N1CCc2ccccc21,5.23
O=C(CCN1CCN(Cc2ccc(Cl)cc2)CC1)N1CCc2ccccc21,5.23
O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1CCCC2CCCCC21,5.23
Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1cccnc1N2,5.23
COc1ccccc1CCCN1CCN(Cc2cc3ccccc3o2)CC1,5.23
Cc1ccc(OCCNCCCOc2ccc(Br)cc2)cc1,5.24
COc1cccc(CN2CCN(Cc3cc4ccccc4o3)CC2)c1,5.24
COc1ccc(CCCCN2CCN(Cc3cc4ccccc4o3)CC2)cc1,5.24
COc1ccc(N2CCN(CCNC(=O)c3cc(Br)c4ccccc4c3OC)CC2)cc1,5.24
Oc1cc2c(cc1Br)CCNCC2c1ccccc1,5.24
COc1c(C(=O)NCCN2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc(Br)c2ccccc12,5.24
Fc1ccc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)cc1,5.24413
COc1c(O)ccc2c1CN1CCc3cc4c(cc3C1C2)OCC4,5.25
COc1ccc(N2CCN(Cc3ccc4c(c3)NC(=O)CO4)CC2)cc1,5.25
Cc1c(C)c2c(c(C)c1O)CCC(C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,5.25
C1C2C3CC4C2C(NCC25C6C7C8C6C2C8C75)C2C1C3C42,5.25
COc1cc(C(=O)NN2c3ccc(Cl)cc3N=C(N3CCN(C)CC3)c3ccccc32)cc(OC)c1OC,5.25485
COc1ccc2c(c1)OC(=O)C1CN(Cc3cccc(Cl)c3)CC=C21,5.26
CC1CCN(Cc2c[nH]c3ccccc23)CC1,5.26
O=C1C=C(c2ccc(F)cc2)OC12CCN(CCc1ccccc1)CC2,5.27
CN1CCc2cc(Cl)c(O)cc2C2c3ccc(N)cc3CCC21,5.27
Oc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1,5.27084
O=C(c1ccccc1)c1ccccc1OCCN1CCCC1,5.27433
FC(CCNCc1ccc2c(c1)Cc1ccccc1-2)CN1CCN(c2cccc(Cl)c2Cl)CC1,5.28
O=C(Nc1cccc(Cn2ncc(N3CCNCC3)c(Cl)c2=O)c1)c1ccc(-c2ccccc2)cc1,5.28
COc1ccccc1N1CCN(CCCC(=O)N=CC2Nc3ccc(F)cc3C(=O)N2c2ccccc2)CC1,5.28
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CCN2CCCC12,5.28
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2ccccc2c1,5.28
Ic1cccn1C1CCN(Cc2ccccc2)CC1,5.28
CC1Cc2ccccc2N1C(=O)CN1CCN(CCc2ccc(Cl)cc2)CC1,5.28
CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,5.28
CC(C)COC(=O)NC1CCC(CCN2CCc3ccccc3C2)CC1,5.28
CCCN(CCC)C1CCC(=C(C#Cc2ccccc2)C#Cc2ccccc2)CC1,5.284
CN(Cc1ccccc1)Cc1ccc(CN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)cc1,5.29
COc1ccc(-c2cc(CCCCN3CCN(c4ccccc4F)CC3)on2)cc1OC,5.29
COc1ccccc1CN1CCN(Cc2cc3ccccc3o2)CC1,5.29
Cc1c(Cn2ncc(N3CCNCC3)c(Cl)c2=O)cccc1NC(=O)c1ccc(-c2ccccc2)cc1,5.29
CN(CCc1ccccc1)C1C2C3CC4C5C3CC2C5C41,5.29277
COc1cccc(CNCCN2CCN(c3ccc(Cl)cc3)CC2)c1,5.3
COc1ccc(S(=O)(=O)Nc2cc(Br)cc(F)c2Br)cc1N1CCNCC1,5.3
c1ccc2c(c1)Cc1ccccc1C21CCNC1,5.3
c1ccc(CN2CCC(CNCc3csc(-c4ccccc4)n3)C2)cc1,5.3
CN(C)CCCOc1ccc(-c2nc3ccccc3n2CC=CCn2c(-c3ccc(OCCCN(C)C)cc3)nc3ccccc32)cc1,5.3
Cn1c(CN2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)nc2ccccc21,5.3
O=c1[nH]c2c(O)ccc(C(O)CNCCc3cccc(CNCc4ccccn4)c3)c2s1,5.3
COc1cccc(CCc2ccccc2OCc2ccccc2)c1,5.30103
CC1NCCc2cc(O)c(O)cc21,5.30103
NCCn1cc(S(=O)(=O)c2ccccc2)c2cccnc21,5.30103
Nc1nc2cc3c(cc2s1)CCN(Cc1ccccn1)CC3,5.30103
c1ccc(CCc2ccccc2OCc2cccnc2)cc1,5.30103
Nc1nc2cc3c(cc2s1)CCN(CC(F)(F)F)CC3,5.30103
CN(C)CCn1cc(S(=O)(=O)c2cccc3ccccc23)c2cccnc21,5.30103
COc1cccc(CCc2ccccc2OCc2cccnc2)c1,5.30103
COc1cccc(CCc2ccccc2OCc2cccc(OC)c2)c1,5.30103
c1ccc(CCc2ccccc2OCc2ccccc2)cc1,5.30103
c1ccc(CCc2ccccc2OCc2ccccn2)cc1,5.30103
CN(C)CCn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cccnc21,5.30103
NCCn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cccnc21,5.30103
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)C(C)C1O,5.30103
CN(C)CCn1cc(S(=O)(=O)c2cccc(F)c2)c2cccnc21,5.30103
Nc1cccc(-c2ccc(C(=O)NC3CCN(Cc4ccccc4)C3)cc2)c1,5.30103
CN(C)C(=O)CN1CCc2cc3nc(N)sc3cc2CC1,5.30103
Nc1nc2cc3c(cc2s1)CCN(Cc1ncon1)CC3,5.30103
COc1cccc(CCc2ccccc2OCc2ccccn2)c1,5.30103
Cc1ccc(Cn2ncc(N3CCNCC3)c(Cl)c2=O)cc1NC(=O)c1ccc(-c2ccccc2)cc1,5.31
CCOc1ccc(CN2CCN(Cc3cc4ccccc4o3)CC2)cc1,5.31
[C]#Cc1cccn1C1CCN(Cc2ccccc2)CC1,5.31
CN(C(=O)C#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1,5.31
C=CCN1CCC2(CC1)OC=C(c1ccccc1)C2=O,5.31
Cc1ccccc1C(=O)N1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,5.31
Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,5.31
O=C(NCCCCN1CCN2c3ccccc3Cc3ccccc3C2C1)c1cc2ccccc2s1,5.31
O=C(CCCCN1CCN(c2ccc(Cl)cc2)CC1)c1nc2ccccc2s1,5.32
c1cnc(NC2CCC(CCN3CCN(c4ccncc4)CC3)CC2)nc1,5.32
CC1CN(Cc2ccc(Cl)cc2)CC[N+]1(C)CC(=O)N1CCc2ccccc21,5.32
Fc1ccc(SCCCN2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1,5.32303
O=C(NCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(C#Cc2ccccc2)cc1,5.33
COc1c(C)ccc2c1-c1cccc3c1C(C2)NCC3,5.33
COc1ccccc1N1CCN(Cc2cn(CCOCCOCCOCCF)nn2)CC1,5.33
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.33
CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCn2ncc(C=O)c2C1,5.33
CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCCCC1,5.33
O=C(C=Cc1ccccc1)NC1CCN(Cc2ccccc2)CC1,5.33
CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CC=C(C#Cc2ccccc2)CC1,5.33
CCCCNC(=O)c1ccc2c(c1)C1OCCN(CCC)C1CC2,5.34
COc1ccccc1N(C(=O)c1ccccc1)C1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,5.34
c1ccc2c3c([nH]c2c1)C(Cc1ccc2c(c1)OCO2)NCC3,5.34
Cc1cccc2c1N(C(=O)CN1CCN(Cc3ccc(Cl)cc3)CC1)CC2,5.34
CCOc1cccc(CN2CCN(Cc3cc4ccccc4o3)CC2)c1,5.34
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,5.35
Oc1ccccc1N1CCN(Cc2cnn3ccccc23)CC1,5.35
CCOC(=O)N1CCC(NCCNC(=O)c2ccccc2C)CC1,5.35
COc1cccc(CN2CCC(NC(=O)c3ccc(-c4cccs4)cc3)C2)c1,5.35067
CCN1C(=O)c2ccccc2S(=O)c2ccc(C(=O)NCc3ccccc3OC)cc21,5.35067
c1ccc2c(c1)CCN1CCc3cccc4[nH]cc(c34)C21,5.35086
FC(F)(F)c1ccc(C=CCOCC2CCN(Cc3ccccc3)CC2)cc1,5.36
Oc1ccc(Br)cc1-c1nc(CN2CCN(c3ccccc3)CC2)co1,5.36
Oc1ccc2c(c1)C(c1ccccc1)CNCC2,5.36
Oc1cc2c(cc1O)C1c3ccncc3CNC1CC2,5.36
CC1CN(C(=O)CN2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,5.36
Nc1nc2cc3c(cc2s1)CCN(C(=O)c1ccccc1)CC3,5.37
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.37
OC1(c2ccc(Cl)cc2)CCCN(Cc2c[nH]c3ccccc23)C1,5.37008
O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,5.37059
c1ccc(Cc2ccccc2OCCN2CCN(c3ccccc3)CC2)cc1,5.38
c1ccc(C2=NCC(N3CCN(c4ccccc4)CC3)CCN2)cc1,5.38
N#Cc1ccc(CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,5.38
O=C1C=C(c2ccccc2)OC2(CCN(CCc3ccccc3)CC2)C1,5.38
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.38
c1ccc(N2CCN(CCCCc3cc(-c4cccs4)no3)CC2)cc1,5.38
O=C(Cc1ccccc1)Nc1ccc(CCN2CCN(c3ccccc3)CC2)cc1,5.38
Cc1sc(C)c2c1CCc1cn[nH]c1-2,5.38
COc1cc2c(c(OC)c1OC)C1Cc3cc4c(cc3CN1CC2)OCO4,5.38
CC1CCc2ccccc2N1C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,5.38
CN(C)CC1(C)CC(=O)C(c2ccccc2)=CO1,5.39
CN(CC#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1,5.39
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.39
CCCN(CCC)C1CCc2cc(OC)ccc2C1,5.4
O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(-c2cccc(F)c2)cc1,5.4
COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3OC)CC21,5.4
COc1c(C(=O)NC2CCN(Cc3ccccc3)C2)cc(C#Cc2ccccc2)c2ccccc12,5.4
CCOc1ccc(CCNCCCSCCNCC(O)c2ccc(O)c3nc(O)sc23)cc1,5.4
COc1cccc(C(=O)NCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,5.4
Oc1nc2c(O)ccc(C(O)CNCCSCCCNCCc3ccccc3)c2s1,5.4
CSc1ccc(-c2ccc(C(=O)NC3CCN(Cc4ccccc4)C3)cc2)cc1,5.4
Cc1cccc(N2CCN(CCCC(=O)N=CC3Nc4ccc(F)cc4C(=O)N3c3ccccc3)CC2)c1C,5.4
COc1ccc2c(c1)C(=O)N(CCN1CCN(c3ccc(Cl)cc3)CC1)CC2,5.4
N#CC(C#N)=Cc1[nH]ccc1CN1CCN(c2ccccc2)CC1,5.4
CCCN(CCC)C1CCn2ncc(C=O)c2C1,5.4
C(=CCn1c(-c2ccc(OCCCN3CCN(c4ccccc4)CC3)cc2)nc2ccccc21)Cn1c(-c2ccc(OCCCN3CCN(c4ccccc4)CC3)cc2)nc2ccccc21,5.4
Cc1cccc(S(=O)(=O)N(C)C(C)CCN2CCC(C)CC2)c1,5.40001
Clc1ccc(N2CCN(CCCc3nc4ccccc4o3)CC2)cc1,5.40209
CN1CCN(C2=Nc3cc(Cl)ccc3N(C(=O)Nc3cc(Cl)cc(Cl)c3)c3ccccc32)CC1,5.41
COc1cc(N)c(Cl)cc1C(=O)NCC1CCN2CCCC12,5.41
Nc1nc2cc3c(cc2s1)CCNCC3,5.41
FC(F)(F)c1ccc2c(c1)N(Cc1ccc(CN3CCN(c4ncccn4)CC3)cc1)c1ccccc1S2,5.41
CCN(CC)C1C(CO)C2CN(Cc3ccccc3)C(C)C21,5.41
CCOC(=O)Nc1ccc2c(c1)CCC1C2c2cc(O)c(Cl)cc2CCN1C,5.41
Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,5.41
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,5.42
CN(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,5.42
COc1ccc(-c2cc(CCCCN3CCN(C(c4ccccc4)c4ccccc4)CC3)on2)c(OC)c1,5.42
CCCN(CCC)C1CCc2c(F)ccc(O)c2C1,5.42
